Date,Open,High,Low,Close,Adj Close,Daily % Return,Deviation from mean,Event,,
1/3/1950,16.66,16.66,16.66,16.66,16.66,,,,Stats of daily % returns,
1/4/1950,16.85,16.85,16.85,16.85,16.85,1.14%,1.1%,,Average,0.0348%
1/5/1950,16.93,16.93,16.93,16.93,16.93,0.47%,0.4%,,Variance,0.0098%
1/6/1950,16.98,16.98,16.98,16.98,16.98,0.30%,0.3%,,Standard Deviation,0.9881%
1/9/1950,17.08,17.08,17.08,17.08,17.08,0.59%,0.6%,,,
1/10/1950,17.03,17.03,17.03,17.03,17.03,-0.29%,-0.3%,,,
1/11/1950,17.09,17.09,17.09,17.09,17.09,0.35%,0.3%,,,
1/12/1950,16.76,16.76,16.76,16.76,16.76,-1.93%,-2.0%,,,
1/13/1950,16.67,16.67,16.67,16.67,16.67,-0.54%,-0.6%,,,
1/16/1950,16.72,16.72,16.72,16.72,16.72,0.30%,0.3%,,,
1/17/1950,16.86,16.86,16.86,16.86,16.86,0.84%,0.8%,,,
1/18/1950,16.85,16.85,16.85,16.85,16.85,-0.06%,-0.1%,,,
1/19/1950,16.87,16.87,16.87,16.87,16.87,0.12%,0.1%,,,
1/20/1950,16.90,16.90,16.90,16.90,16.90,0.18%,0.1%,,,
1/23/1950,16.92,16.92,16.92,16.92,16.92,0.12%,0.1%,,,
1/24/1950,16.86,16.86,16.86,16.86,16.86,-0.35%,-0.4%,,,
1/25/1950,16.74,16.74,16.74,16.74,16.74,-0.71%,-0.7%,,,
1/26/1950,16.73,16.73,16.73,16.73,16.73,-0.06%,-0.1%,,,
1/27/1950,16.82,16.82,16.82,16.82,16.82,0.54%,0.5%,,,
1/30/1950,17.02,17.02,17.02,17.02,17.02,1.19%,1.2%,,,
1/31/1950,17.05,17.05,17.05,17.05,17.05,0.18%,0.1%,,,
2/1/1950,17.05,17.05,17.05,17.05,17.05,0.00%,0.0%,,,
2/2/1950,17.23,17.23,17.23,17.23,17.23,1.06%,1.0%,,,
2/3/1950,17.29,17.29,17.29,17.29,17.29,0.35%,0.3%,,,
2/6/1950,17.32,17.32,17.32,17.32,17.32,0.17%,0.1%,,,
2/7/1950,17.23,17.23,17.23,17.23,17.23,-0.52%,-0.6%,,,
2/8/1950,17.21,17.21,17.21,17.21,17.21,-0.12%,-0.2%,,,
2/9/1950,17.28,17.28,17.28,17.28,17.28,0.41%,0.4%,,,
2/10/1950,17.24,17.24,17.24,17.24,17.24,-0.23%,-0.3%,,,
2/14/1950,17.06,17.06,17.06,17.06,17.06,-1.04%,-1.1%,,,
2/15/1950,17.06,17.06,17.06,17.06,17.06,0.00%,0.0%,,,
2/16/1950,16.99,16.99,16.99,16.99,16.99,-0.41%,-0.4%,,,
2/17/1950,17.15,17.15,17.15,17.15,17.15,0.94%,0.9%,,,
2/20/1950,17.20,17.20,17.20,17.20,17.20,0.29%,0.3%,,,
2/21/1950,17.17,17.17,17.17,17.17,17.17,-0.17%,-0.2%,,,
2/23/1950,17.21,17.21,17.21,17.21,17.21,0.23%,0.2%,,,
2/24/1950,17.28,17.28,17.28,17.28,17.28,0.41%,0.4%,,,
2/27/1950,17.28,17.28,17.28,17.28,17.28,0.00%,0.0%,,,
2/28/1950,17.22,17.22,17.22,17.22,17.22,-0.35%,-0.4%,,,
3/1/1950,17.24,17.24,17.24,17.24,17.24,0.12%,0.1%,,,
3/2/1950,17.23,17.23,17.23,17.23,17.23,-0.06%,-0.1%,,,
3/3/1950,17.29,17.29,17.29,17.29,17.29,0.35%,0.3%,,,
3/6/1950,17.32,17.32,17.32,17.32,17.32,0.17%,0.1%,,,
3/7/1950,17.20,17.20,17.20,17.20,17.20,-0.69%,-0.7%,,,
3/8/1950,17.19,17.19,17.19,17.19,17.19,-0.06%,-0.1%,,,
3/9/1950,17.07,17.07,17.07,17.07,17.07,-0.70%,-0.7%,,,
3/10/1950,17.09,17.09,17.09,17.09,17.09,0.12%,0.1%,,,
3/13/1950,17.12,17.12,17.12,17.12,17.12,0.18%,0.1%,,,
3/14/1950,17.25,17.25,17.25,17.25,17.25,0.76%,0.7%,,,
3/15/1950,17.45,17.45,17.45,17.45,17.45,1.16%,1.1%,,,
3/16/1950,17.49,17.49,17.49,17.49,17.49,0.23%,0.2%,,,
3/17/1950,17.45,17.45,17.45,17.45,17.45,-0.23%,-0.3%,,,
3/20/1950,17.44,17.44,17.44,17.44,17.44,-0.06%,-0.1%,,,
3/21/1950,17.45,17.45,17.45,17.45,17.45,0.06%,0.0%,,,
3/22/1950,17.55,17.55,17.55,17.55,17.55,0.57%,0.5%,,,
3/23/1950,17.56,17.56,17.56,17.56,17.56,0.06%,0.0%,,,
3/24/1950,17.56,17.56,17.56,17.56,17.56,0.00%,0.0%,,,
3/27/1950,17.46,17.46,17.46,17.46,17.46,-0.57%,-0.6%,,,
3/28/1950,17.53,17.53,17.53,17.53,17.53,0.40%,0.4%,,,
3/29/1950,17.44,17.44,17.44,17.44,17.44,-0.51%,-0.5%,,,
3/30/1950,17.30,17.30,17.30,17.30,17.30,-0.80%,-0.8%,,,
3/31/1950,17.29,17.29,17.29,17.29,17.29,-0.06%,-0.1%,,,
4/3/1950,17.53,17.53,17.53,17.53,17.53,1.39%,1.4%,,,
4/4/1950,17.55,17.55,17.55,17.55,17.55,0.11%,0.1%,,,
4/5/1950,17.63,17.63,17.63,17.63,17.63,0.46%,0.4%,,,
4/6/1950,17.78,17.78,17.78,17.78,17.78,0.85%,0.8%,,,
4/10/1950,17.85,17.85,17.85,17.85,17.85,0.39%,0.4%,,,
4/11/1950,17.75,17.75,17.75,17.75,17.75,-0.56%,-0.6%,,,
4/12/1950,17.94,17.94,17.94,17.94,17.94,1.07%,1.0%,,,
